0,1,2,3,grid,initHeight
0.00119048,-0.000819999,0.000103468,0,fine,height_02
0.00262605,-0.0106514,-0.0177579,0,fine,height_02
0.00431798,-0.0112111,-0.0134718,0,fine,height_02
0.00630415,-0.00724195,-0.000201237,0,fine,height_02
0.0087317,-0.0100608,-0.000312641,0,fine,height_02
0.0116794,-0.0126764,0.000210635,0,fine,height_02
0.0151631,-0.0165833,0.000573185,0,fine,height_02
0.0190339,-0.0214484,0.000258639,0,fine,height_02
0.0229047,-0.0257973,0.000257328,0,fine,height_02
0.0262916,-0.0274897,0.000937588,0,fine,height_02
0.0292551,-0.0292761,0.00145734,0,fine,height_02
0.0322187,-0.0317327,0.00189677,0,fine,height_02
0.0347589,-0.0330247,0.00238056,0,fine,height_02
0.0372991,-0.0343609,0.00281144,0,fine,height_02
0.0398392,-0.0349787,0.00339785,0,fine,height_02
0.0423794,-0.0372441,0.00352151,0,fine,height_02
0.0449196,-0.03906,0.00382724,0,fine,height_02
0.0474598,-0.0408058,0.00406268,0,fine,height_02
0.05,-0.0422272,0.00442756,0,fine,height_02
0.0519231,-0.0420048,0.00478406,0,fine,height_02
0.0537722,-0.0433178,0.00485302,0,fine,height_02
0.0556213,-0.044767,0.00510476,0,fine,height_02
0.0573964,-0.0456745,0.00527955,0,fine,height_02
0.0591716,-0.046569,0.00536122,0,fine,height_02
0.0608728,-0.047111,0.00555091,0,fine,height_02
0.062574,-0.0480755,0.00564336,0,fine,height_02
0.0642012,-0.0489775,0.00578878,0,fine,height_02
0.0658284,-0.0497414,0.00590722,0,fine,height_02
0.0674556,-0.0503571,0.00599574,0,fine,height_02
0.0690054,-0.050706,0.00620995,0,fine,height_02
0.0705551,-0.0515397,0.00616658,0,fine,height_02
0.0721048,-0.0522651,0.00624204,0,fine,height_02
0.0736546,-0.0528377,0.0063411,0,fine,height_02
0.0751182,-0.0532679,0.00639093,0,fine,height_02
0.0765818,-0.0535027,0.00649441,0,fine,height_02
0.0780455,-0.0540519,0.00664155,0,fine,height_02
0.0795091,-0.0547448,0.00658966,0,fine,height_02
0.0809727,-0.0552156,0.00658985,0,fine,height_02
0.0824364,-0.0554998,0.00675231,0,fine,height_02
0.0837874,-0.0555438,0.00682959,0,fine,height_02
0.0851385,-0.0559539,0.00678346,0,fine,height_02
0.0864895,-0.0564463,0.00676795,0,fine,height_02
0.0878406,-0.0567983,0.00673565,0,fine,height_02
0.0891916,-0.0570427,0.00685412,0,fine,height_02
0.0905427,-0.0571138,0.00688195,0,fine,height_02
0.0918937,-0.057398,0.00680018,0,fine,height_02
0.0932448,-0.057774,0.0068787,0,fine,height_02
0.0945958,-0.0580106,0.00685183,0,fine,height_02
0.0959469,-0.0581885,0.00682117,0,fine,height_02
0.0972979,-0.0582242,0.00697267,0,fine,height_02
0.098649,-0.0584408,0.00677842,0,fine,height_02
0.1,-0.0586734,0.00679963,0,fine,height_02
0.10125,-0.0587615,0.00689785,0,fine,height_02
0.1025,-0.0588639,0.006755,0,fine,height_02
0.10375,-0.0588252,0.00683213,0,fine,height_02
0.105,-0.0588604,0.00687314,0,fine,height_02
0.10625,-0.0590581,0.00673634,0,fine,height_02
0.1075,-0.0591788,0.00674102,0,fine,height_02
0.108714,-0.0592148,0.00671243,0,fine,height_02
0.109929,-0.0592281,0.00658764,0,fine,height_02
0.111107,-0.0591264,0.00669374,0,fine,height_02
0.112251,-0.0591329,0.00662236,0,fine,height_02
0.113395,-0.0592138,0.00669972,0,fine,height_02
0.114472,-0.0592651,0.00664148,0,fine,height_02
0.115548,-0.0592849,0.00638718,0,fine,height_02
0.116592,-0.0591549,0.00649835,0,fine,height_02
0.117605,-0.0589982,0.0065336,0,fine,height_02
0.118617,-0.0589986,0.00652075,0,fine,height_02
0.119568,-0.0591173,0.0063219,0,fine,height_02
0.120519,-0.0591214,0.00634899,0,fine,height_02
0.12144,-0.0590428,0.00636552,0,fine,height_02
0.122361,-0.0589598,0.00638775,0,fine,height_02
0.123225,-0.0588887,0.00627015,0,fine,height_02
0.124089,-0.0587388,0.0062535,0,fine,height_02
0.124851,-0.0586425,0.00619463,0,fine,height_02
0.12555,-0.0586555,0.00614328,0,fine,height_02
0.126081,-0.0586945,0.00612517,0,fine,height_02
0.12659,-0.0587137,0.00602365,0,fine,height_02
0.127016,-0.0586951,0.00593164,0,fine,height_02
0.127392,-0.0586418,0.00598445,0,fine,height_02
0.127735,-0.0585633,0.00618369,0,fine,height_02
0.128053,-0.0584786,0.00641013,0,fine,height_02
0.128362,-0.0584066,0.00655849,0,fine,height_02
0.128659,-0.0583582,0.00661686,0,fine,height_02
0.128951,-0.0583264,0.00664857,0,fine,height_02
0.129235,-0.0583016,0.00668466,0,fine,height_02
0.129516,-0.0582774,0.00668934,0,fine,height_02
0.129793,-0.0582493,0.00661781,0,fine,height_02
0.13007,-0.0582089,0.00648971,0,fine,height_02
0.130346,-0.0581484,0.00639209,0,fine,height_02
0.130623,-0.0580711,0.00639136,0,fine,height_02
0.130904,-0.0579954,0.00645911,0,fine,height_02
0.131185,-0.0579516,0.00649718,0,fine,height_02
0.131474,-0.0579685,0.00643661,0,fine,height_02
0.131773,-0.0580551,0.00630138,0,fine,height_02
0.132077,-0.0581714,0.00618824,0,fine,height_02
0.132391,-0.0582441,0.0061676,0,fine,height_02
0.132712,-0.058213,0.0062399,0,fine,height_02
0.133038,-0.0580828,0.00636819,0,fine,height_02
0.133364,-0.0579222,0.00650431,0,fine,height_02
0.133697,-0.0578032,0.00659229,0,fine,height_02
0.134036,-0.0577621,0.00658513,0,fine,height_02
0.134383,-0.0577871,0.00648633,0,fine,height_02
0.13473,-0.057837,0.00635024,0,fine,height_02
0.135085,-0.0578656,0.00623325,0,fine,height_02
0.135449,-0.0578302,0.0061768,0,fine,height_02
0.135813,-0.0577203,0.00619092,0,fine,height_02
0.136186,-0.0575675,0.0062465,0,fine,height_02
0.13656,-0.0574311,0.00628023,0,fine,height_02
0.136944,-0.0573309,0.00624563,0,fine,height_02
0.137328,-0.0572612,0.00615966,0,fine,height_02
0.137724,-0.0572185,0.0060789,0,fine,height_02
0.13812,-0.0571984,0.00606128,0,fine,height_02
0.138516,-0.0571753,0.00610303,0,fine,height_02
0.138912,-0.0571334,0.00614185,0,fine,height_02
0.139308,-0.0570821,0.00613938,0,fine,height_02
0.139704,-0.0570347,0.00611577,0,fine,height_02
0.140116,-0.056985,0.00611262,0,fine,height_02
0.140527,-0.0569105,0.00615524,0,fine,height_02
0.140939,-0.0567946,0.00621405,0,fine,height_02
0.141351,-0.0566661,0.00612847,0,fine,height_02
0.141763,-0.0565696,0.00569807,0,fine,height_02
0.142175,-0.0564833,0.00510823,0,fine,height_02
0.142587,-0.0563314,0.00490258,0,fine,height_02
0.142999,-0.0560922,0.00525399,0,fine,height_02
0.14341,-0.0558447,0.00577584,0,fine,height_02
0.143822,-0.055687,0.00603191,0,fine,height_02
0.144234,-0.0556281,0.00584103,0,fine,height_02
0.144646,-0.0555851,0.00532177,0,fine,height_02
0.145058,-0.0554592,0.00485578,0,fine,height_02
0.14547,-0.055213,0.00481595,0,fine,height_02
0.145882,-0.054909,0.0051358,0,fine,height_02
0.146293,-0.0546552,0.00539889,0,fine,height_02
0.146705,-0.054494,0.00541605,0,fine,height_02
0.147117,-0.0543604,0.00528852,0,fine,height_02
0.147529,-0.0541505,0.00514687,0,fine,height_02
0.147941,-0.0538165,0.00505198,0,fine,height_02
0.148353,-0.0533982,0.00499939,0,fine,height_02
0.148764,-0.0529896,0.00501478,0,fine,height_02
0.149176,-0.052666,0.00503638,0,fine,height_02
0.149588,-0.0524208,0.00499127,0,fine,height_02
0.15,-0.0521668,0.00500932,0,fine,height_02
0.150442,-0.0517922,0.0051518,0,fine,height_02
0.150889,-0.0513578,0.0052202,0,fine,height_02
0.15134,-0.0510026,0.00510543,0,fine,height_02
0.15179,-0.0507829,0.00497408,0,fine,height_02
0.152245,-0.0506072,0.00502655,0,fine,height_02
0.152704,-0.0503668,0.00517578,0,fine,height_02
0.153168,-0.0500309,0.0051522,0,fine,height_02
0.153636,-0.0496316,0.0049364,0,fine,height_02
0.154109,-0.0492174,0.0046624,0,fine,height_02
0.154587,-0.0488277,0.00449712,0,fine,height_02
0.15507,-0.0484792,0.00439354,0,fine,height_02
0.155559,-0.0481388,0.00432683,0,fine,height_02
0.156052,-0.0477798,0.00435515,0,fine,height_02
0.156546,-0.0474748,0.00447637,0,fine,height_02
0.157046,-0.0472803,0.00472191,0,fine,height_02
0.157551,-0.0471475,0.00500125,0,fine,height_02
0.158063,-0.0470217,0.00500249,0,fine,height_02
0.15858,-0.046882,0.00472087,0,fine,height_02
0.159105,-0.046673,0.00445852,0,fine,height_02
0.159636,-0.0464054,0.00449513,0,fine,height_02
0.160174,-0.0462228,0.00467397,0,fine,height_02
0.160719,-0.0462096,0.0048439,0,fine,height_02
0.161265,-0.0462838,0.00489676,0,fine,height_02
0.161818,-0.0462765,0.00474465,0,fine,height_02
0.16238,-0.0460746,0.00437066,0,fine,height_02
0.16295,-0.045803,0.00398602,0,fine,height_02
0.16352,-0.0456735,0.00389731,0,fine,height_02
0.164099,-0.045763,0.00407047,0,fine,height_02
0.164687,-0.0460387,0.00448949,0,fine,height_02
0.165276,-0.0464249,0.00492537,0,fine,height_02
0.165875,-0.0468158,0.00505741,0,fine,height_02
